Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Ministarstvo poljoprivrede,"Savjetovanje s  javnošću za Nacrt prijedloga zakona o izmjenama Zakona o informiranju potrošača o hrani, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10162,01.02.2019.,15.02.2019.,21.02.2019.,Izvješća objavljena,/Documents/List/10162,/ECon/MainScreen?entityId=10162,10162
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Nacrt prijedloga zakona o izmjenama Zakona o provedbi Uredbe EZ br. 2003/2003 o gnojivima, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10163,01.02.2019.,15.02.2019.,18.02.2019.,Izvješća objavljena,/Documents/List/10163,/ECon/MainScreen?entityId=10163,10163
Ministarstvo poljoprivrede,Nacrt prijedloga Zakona o izmjenama i dopunama Zakona o uskladištenju i skladišnici za žitarice i industrijsko bilje,NA,01.02.2019.,15.02.2019.,18.02.2019.,Zatvoren,/Documents/List/10164,/ECon/MainScreen?entityId=10164,10164
Ministarstvo poljoprivrede,Savjetovanje s javnošću na Nacrt prijedloga zakona o izmjenama Zakona o provedbi Uredbe (EZ) br. 1107/2009 o stavljanju na tržište sredstava za zaštitu bilja,/ECon/EconReport?entityId=10165,01.02.2019.,16.02.2019.,22.02.2019.,Izvješća objavljena,/Documents/List/10165,/ECon/MainScreen?entityId=10165,10165
Ministarstvo zaštite okoliša i energetike,Nacrt Prijedloga zakona o obeštećenju radnika trgovačkog društva Plobest d.d.,NA,01.02.2019.,15.02.2019.,28.02.2019.,Zatvoren,/Documents/List/10170,/ECon/MainScreen?entityId=10170,10170
Ministarstvo zaštite okoliša i energetike,"Obrazac prethodne procjene za nacrt Prijedloga zakona o obeštećenju radnika trgovačkog društva Plobest d.d., Ploče.",NA,01.02.2019.,15.02.2019.,28.02.2019.,Zatvoren,/Documents/List/10171,/ECon/MainScreen?entityId=10171,10171
Ministarstvo poljoprivrede,"PRIJEDLOG ZAKONA O IZMJENAMA ZAKONA O OBITELJSKOM POLJOPRIVREDNOM GOSPODARSTVU, S KONAČNIM PRIJEDLOGOM ZAKONA",/ECon/EconReport?entityId=10173,01.02.2019.,16.02.2019.,22.02.2019.,Izvješća objavljena,/Documents/List/10173,/ECon/MainScreen?entityId=10173,10173
Ministarstvo unutarnjih poslova,"Pravilnik o načinu provedbe zaštitnih mjera zabrane približavanja, uznemiravanja ili uhođenja žrtve nasilja u obitelji te mjere udaljenja iz zajedničkog kućanstva",NA,01.02.2019.,02.03.2019.,02.04.2019.,Otvoren,/Documents/List/10175,/ECon/MainScreen?entityId=10175,10175
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o vrsti i visini naknada Hrvatske agencije za nadzor financijskih usluga,NA,31.01.2019.,01.03.2019.,15.03.2019.,Zatvoren,/Documents/List/10143,/ECon/MainScreen?entityId=10143,10143
Ministarstvo turizma,Savjetovanje sa zainteresiranom javnošću o Nacrtu pravilnika o stručnom ispitu za turističke vodiče,NA,31.01.2019.,02.03.2019.,12.03.2019.,Otvoren,/Documents/List/10145,/ECon/MainScreen?entityId=10145,10145
Ministarstvo turizma,Savjetovanje o Nacrtu pravilnika o popisu zaštićenih cjelina (lokaliteta) po županijama,NA,31.01.2019.,02.03.2019.,12.03.2019.,Otvoren,/Documents/List/10147,/ECon/MainScreen?entityId=10147,10147
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o likvidaciji i produljenju trajanja AIF-a,NA,31.01.2019.,20.02.2019.,22.02.2019.,Zatvoren,/Documents/List/10148,/ECon/MainScreen?entityId=10148,10148
Ministarstvo unutarnjih poslova,Nacrt prijedloga Zakona o državljanima država članica EGP-a i članovima njihovih obitelji,NA,31.01.2019.,20.02.2019.,20.03.2019.,Zatvoren,/Documents/List/10138,/ECon/MainScreen?entityId=10138,10138
Ministarstvo znanosti i obrazovanja,Savjetovanje sa zainteresiranom javnosti o Nacrtu Pravilnika o izmjenama i dopunama Pravilnika o polaganju državne mature,NA,29.01.2019.,13.02.2019.,18.03.2019.,Zatvoren,/Documents/List/10141,/ECon/MainScreen?entityId=10141,10141
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o registraciji MTP-a kao rastućeg tržišta malih i srednjih poduzeća,/ECon/EconReport?entityId=10125,28.01.2019.,16.02.2019.,01.03.2019.,Izvješća objavljena,/Documents/List/10125,/ECon/MainScreen?entityId=10125,10125
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o kriterijima za ispunjavanje uvjeta za imenovanje vezanog zastupnika i registru vezanih zastupnika,/ECon/EconReport?entityId=10126,28.01.2019.,16.02.2019.,01.03.2019.,Izvješća objavljena,/Documents/List/10126,/ECon/MainScreen?entityId=10126,10126
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o obavljanju poslova depozitara AIF-a,/ECon/EconReport?entityId=10127,28.01.2019.,16.02.2019.,01.03.2019.,Izvješća objavljena,/Documents/List/10127,/ECon/MainScreen?entityId=10127,10127
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o strukturi i sadržaju godišnjih financijskih izvještaja burze,/ECon/EconReport?entityId=10128,28.01.2019.,16.02.2019.,15.03.2019.,Izvješća objavljena,/Documents/List/10128,/ECon/MainScreen?entityId=10128,10128
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o postupanju Hanfe u vezi naknada za usluge uređenog tržišta,/ECon/EconReport?entityId=10129,28.01.2019.,16.02.2019.,01.03.2019.,Izvješća objavljena,/Documents/List/10129,/ECon/MainScreen?entityId=10129,10129
Hrvatska agencija za nadzor financijskih usluga,"Savjetovanje o nacrtu prijedloga Pravilnika o sadržaju zahtjeva za izdavanje odobrenja za statusne promjene UAIF-a, potrebnoj dokumentaciji i sadržaju dokumentacije koja se prilaže zahtjevu",/ECon/EconReport?entityId=10130,28.01.2019.,16.02.2019.,01.03.2019.,Izvješća objavljena,/Documents/List/10130,/ECon/MainScreen?entityId=10130,10130
Ministarstvo graditeljstva i prostornoga uređenja,Prijedlog Odluke  o donošenju Programa o kriterijima i načinima za stambeno zbrinjavanje stanovnika zgrada i uklanjanja ostataka porušenih obiteljskih kuća i drugih stambenih zgrada koje su uništene ili oštećene zbog klizanja tla na području Hrvatske Kostajnice i drugih područja u Republici Hrvatskoj,/ECon/EconReport?entityId=10134,28.01.2019.,11.02.2019.,01.04.2019.,Izvješća objavljena,/Documents/List/10134,/ECon/MainScreen?entityId=10134,10134
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o dopunama Pravilnika o gospodarskom ribolovu na moru okružujućom mrežom plivaricom – srdelarom,NA,28.01.2019.,06.02.2019.,21.02.2019.,Zatvoren,/Documents/List/10135,/ECon/MainScreen?entityId=10135,10135
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o dopunama Pravilnika o gospodarskom ribolovu na moru pridnenom povlačnom mrežom - koćom,NA,28.01.2019.,06.02.2019.,21.02.2019.,Zatvoren,/Documents/List/10136,/ECon/MainScreen?entityId=10136,10136
Ministarstvo zaštite okoliša i energetike,"PRIJEDLOG ZAKONA O IZMJENAMA ZAKONA O PROVEDBI UREDBE (EZ) BR. 850/2004 O POSTOJANIM ORGANSKIM ONEČIŠĆUJUĆIM TVARIMA, S KONAČNIM PRIJEDLOGOM ZAKONA",/ECon/EconReport?entityId=10124,27.01.2019.,11.02.2019.,28.02.2019.,Izvješća objavljena,/Documents/List/10124,/ECon/MainScreen?entityId=10124,10124
Ministarstvo graditeljstva i prostornoga uređenja,Prijedlog Zakona o izmjenama Zakona  o građevnim proizvodima,/ECon/EconReport?entityId=10118,25.01.2019.,08.02.2019.,08.04.2019.,Izvješća objavljena,/Documents/List/10118,/ECon/MainScreen?entityId=10118,10118
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o dodatnim organizacijskim zahtjevima društava za upravljanje alternativnim investicijskim fondovima,/ECon/EconReport?entityId=10119,25.01.2019.,13.02.2019.,22.02.2019.,Izvješća objavljena,/Documents/List/10119,/ECon/MainScreen?entityId=10119,10119
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o glavnim i napajajućim alternativnim investicijskim fondovima,/ECon/EconReport?entityId=10120,25.01.2019.,13.02.2019.,22.02.2019.,Izvješća objavljena,/Documents/List/10120,/ECon/MainScreen?entityId=10120,10120
Ministarstvo kulture,PRAVILNIK O POSTUPKU I NAČINU IZDAVANJA DOPUŠTENJA ZA OBAVLJANJE PODVODNIH AKTIVNOSTI U UNUTARNJIM MORSKIM VODAMA I TERITORIJALNOM MORU REPUBLIKE HRVATSKE U PODRUČJIMA GDJE SE NALAZE KULTURNA DOBRA,NA,25.01.2019.,25.02.2019.,25.04.2019.,Zatvoren,/Documents/List/10122,/ECon/MainScreen?entityId=10122,10122
Ministarstvo financija,Nacrt prijedloga Akcijskog plana za unaprjeđenje financijske pismenosti potrošača za 2019. godinu,NA,24.01.2019.,03.02.2019.,03.03.2019.,Čeka odobravanje izvještaja,/Documents/List/10101,/ECon/MainScreen?entityId=10101,10101
Hrvatska agencija za nadzor financijskih usluga,"Savjetovanje o nacrtu Pravilnika o izmjenama i dopunama Pravilnika o izračunu, visini i naplati naknada koje se plaćaju Hrvatskoj agenciji za nadzor financijskih usluga za 2019. godinu",/ECon/EconReport?entityId=10102,24.01.2019.,07.02.2019.,15.02.2019.,Izvješća objavljena,/Documents/List/10102,/ECon/MainScreen?entityId=10102,10102
Ministarstvo poljoprivrede,PROGRAM DRŽAVNE POTPORE ZA IZNIMNO OSJETLJIVE SEKTORE U POLJOPRIVREDI ZA 2019. GODINU,/ECon/EconReport?entityId=10108,24.01.2019.,07.02.2019.,12.02.2019.,Izvješća objavljena,/Documents/List/10108,/ECon/MainScreen?entityId=10108,10108
Ministarstvo zdravstva,Savjetovanje o Nacrtu pravilnika o mjerilima za određivanje najviše dozvoljene cijene lijeka na veliko i iznimno više od najviše dozvoljene cijene lijeka na veliko te o godišnjem izračunu cijena lijeka,NA,24.01.2019.,08.02.2019.,08.03.2019.,Zatvoren,/Documents/List/10109,/ECon/MainScreen?entityId=10109,10109
Ministarstvo financija,Savjetovanje o obrascu prethodne procjene učinaka propisa za Zakon o izmjenama i dopunama Zakona o carinskoj službi,/ECon/EconReport?entityId=10111,24.01.2019.,07.02.2019.,11.02.2019.,Izvješća objavljena,/Documents/List/10111,/ECon/MainScreen?entityId=10111,10111
Ministarstvo zdravstva,Savjetovanje o Nacrtu pravilnika o mjerilima za stavljanje lijekova na listu lijekova Hrvatskog zavoda za zdravstveno osiguranje kao i načinu utvrđivanja cijena lijekova koje će plaćati Zavod te načinu izvještavanja o njima,NA,24.01.2019.,08.02.2019.,08.03.2019.,Zatvoren,/Documents/List/10115,/ECon/MainScreen?entityId=10115,10115
Ministarstvo rada i mirovinskoga sustava,SAVJETOVANJE O NACRTU PRIJEDLOGA ZAKONA O IZMJENAMA I DOPUNAMA ZAKONA O REGULIRANIM PROFESIJAMA I PRIZNAVANJU INOZEMNIH STRUČNIH KVALIFIKACIJA,/ECon/EconReport?entityId=10097,23.01.2019.,21.02.2019.,01.03.2019.,Izvješća objavljena,/Documents/List/10097,/ECon/MainScreen?entityId=10097,10097
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o uvjetima, kriterijima i načinu dodjele državne potpore za štete od raznih vrsta ptica i ostalih životinja na šaranskim ribnjacima u 2019. godini",NA,23.01.2019.,02.02.2019.,12.02.2019.,Zatvoren,/Documents/List/10099,/ECon/MainScreen?entityId=10099,10099
Ministarstvo regionalnog razvoja i fondova Europske unije,Savjetovanje sa zainteresiranom javnošću o nacrtu Odluke o obuhvatu i razvrstavanju jedinica lokalne samouprave koje stječu status brdsko-planinskog područja,/ECon/EconReport?entityId=10092,21.01.2019.,04.02.2019.,08.02.2019.,Izvješća objavljena,/Documents/List/10092,/ECon/MainScreen?entityId=10092,10092
Ministarstvo financija,Savjetovanje o nacrtu Pravilnika o provedbi Općeg poreznog zakona,NA,21.01.2019.,18.02.2019.,25.02.2019.,Zatvoren,/Documents/List/10094,/ECon/MainScreen?entityId=10094,10094
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Obrazac prethodne procjene za Nacrt prijedloga zakona o izmjenama Zakona o provedbi Uredbe (EZ) br. 1107/2009 o stavljanju na tržište sredstava za zaštitu bilja,/ECon/EconReport?entityId=10077,18.01.2019.,01.02.2019.,08.02.2019.,Izvješća objavljena,/Documents/List/10077,/ECon/MainScreen?entityId=10077,10077
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o uvjetima za članstvo u upravi i nadzornom odboru UAIF-a te u nadzornom odboru zatvorenog AIF-a s vanjskim upraviteljem,/ECon/EconReport?entityId=10080,18.01.2019.,06.02.2019.,22.02.2019.,Izvješća objavljena,/Documents/List/10080,/ECon/MainScreen?entityId=10080,10080
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o izdavanju odobrena za rad UAIF-a i dokumentaciji koja se dostavlja uz obavijest o stjecanju kvalificiranog udjela u UAIF-u,/ECon/EconReport?entityId=10084,18.01.2019.,06.02.2019.,15.02.2019.,Izvješća objavljena,/Documents/List/10084,/ECon/MainScreen?entityId=10084,10084
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o izdavanju odobrenja za osnivanje i upravljanje AIF-om,/ECon/EconReport?entityId=10085,18.01.2019.,06.02.2019.,15.02.2019.,Izvješća objavljena,/Documents/List/10085,/ECon/MainScreen?entityId=10085,10085
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu prijedloga Pravilnika o statusnim promjenama AIF-ova bez pravne osobnosti te uvjetima za promjenu razlikovnosti i oblika AIF-a,/ECon/EconReport?entityId=10086,18.01.2019.,06.02.2019.,15.02.2019.,Izvješća objavljena,/Documents/List/10086,/ECon/MainScreen?entityId=10086,10086
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o sadržaju i načinu vođenja registra UAIF-ova i AIF-ova,/ECon/EconReport?entityId=10087,18.01.2019.,06.02.2019.,01.03.2019.,Izvješća objavljena,/Documents/List/10087,/ECon/MainScreen?entityId=10087,10087
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o politici primitaka središnjeg klirinškog depozitarnog društva,NA,18.01.2019.,06.02.2019.,08.02.2019.,Zatvoren,/Documents/List/10088,/ECon/MainScreen?entityId=10088,10088
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o sadržaju zahtjeva i dokumentaciji za izdavanje odobrenja za rad središnjem klirinškom depozitarnom društvu,NA,18.01.2019.,06.02.2019.,08.02.2019.,Zatvoren,/Documents/List/10089,/ECon/MainScreen?entityId=10089,10089
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje o nacrtu Pravilnika o strukturi i sadržaju godišnjih financijskih izvještaja središnjeg klirinškog depozitarnog društva,NA,18.01.2019.,06.02.2019.,08.02.2019.,Zatvoren,/Documents/List/10090,/ECon/MainScreen?entityId=10090,10090
Središnji državni ured za šport,Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga Nacionalnog programa športa 2019. - 2026.,NA,18.01.2019.,18.02.2019.,20.03.2019.,Zatvoren,/Documents/List/10075,/ECon/MainScreen?entityId=10075,10075
Ministarstvo poljoprivrede,Savjetovanje sa zainteresiranom javnošću za Obrazac prethodne procjene za Nacrt prijedloga zakona o izmjeni Zakona o informiranju potrošača o hrani,/ECon/EconReport?entityId=10076,17.01.2019.,01.02.2019.,08.02.2019.,Izvješća objavljena,/Documents/List/10076,/ECon/MainScreen?entityId=10076,10076
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Obrazac prethodne procjene za Nacrt prijedloga zakona o izmjenama Zakona o provedbi uredbi Europske unije o zaštiti životinja,NA,17.01.2019.,02.02.2019.,09.02.2019.,Zatvoren,/Documents/List/10062,/ECon/MainScreen?entityId=10062,10062
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Obrazac prethodne procjene za Nacrt prijedloga zakona o izmjeni Zakona o obiteljskom poljoprivrednom gospodarstvu,/ECon/EconReport?entityId=10070,17.01.2019.,01.02.2019.,06.02.2019.,Izvješća objavljena,/Documents/List/10070,/ECon/MainScreen?entityId=10070,10070
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Obrazac prethodne procjene za Prijedlog zakona o izmjenama i dopunama  zakona o šumskom reprodukcijskom materijalu, s konačnim prijedlogom zakona",/ECon/EconReport?entityId=10063,16.01.2019.,31.01.2019.,07.02.2019.,Izvješća objavljena,/Documents/List/10063,/ECon/MainScreen?entityId=10063,10063
Ministarstvo poljoprivrede,"Obrazac prethodne procjene za Izmjenu Zakona o službenim kontrolama koje se provode sukladno propisima o hrani, hrani za životinje, o zdravlju i dobrobiti životinja",/ECon/EconReport?entityId=10066,16.01.2019.,25.01.2019.,01.02.2019.,Izvješća objavljena,/Documents/List/10066,/ECon/MainScreen?entityId=10066,10066
"Ministarstvo gospodarstva, poduzetništva i obrta","Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga zakona o izmjenama Zakona o općoj sigurnosti proizvoda, s Konačnim prijedlogom zakona",/ECon/EconReport?entityId=10033,16.01.2019.,01.02.2019.,06.02.2019.,Izvješća objavljena,/Documents/List/10033,/ECon/MainScreen?entityId=10033,10033
"Ministarstvo gospodarstva, poduzetništva i obrta","Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga zakona o izmjeni Zakona o alternativnom rješavanju potrošačkih sporova, s Konačnim prijedlogom zakona",/ECon/EconReport?entityId=10034,16.01.2019.,01.02.2019.,06.02.2019.,Izvješća objavljena,/Documents/List/10034,/ECon/MainScreen?entityId=10034,10034
"Ministarstvo gospodarstva, poduzetništva i obrta","Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga zakona o izmjeni Zakona o tehničkim zahtjevima za proizvode i ocjenjivanju sukladnosti, s Konačnim prijedlogom zakona",/ECon/EconReport?entityId=10035,16.01.2019.,01.02.2019.,06.02.2019.,Izvješća objavljena,/Documents/List/10035,/ECon/MainScreen?entityId=10035,10035
"Ministarstvo gospodarstva, poduzetništva i obrta",Savjetvanje o Pravilniku o izmjenama i dopunama Pravilnika o ograničavanju uporabe određenih opasnih tvari u električnoj i elektroničkoj opremi,/ECon/EconReport?entityId=10037,16.01.2019.,16.02.2019.,26.02.2019.,Izvješća objavljena,/Documents/List/10037,/ECon/MainScreen?entityId=10037,10037
Ministarstvo hrvatskih branitelja,savjetovanje o Nacrtu prijedloga Zakona o osobama nestalim u Domovinskom ratu,NA,16.01.2019.,15.02.2019.,20.05.2019.,Zatvoren,/Documents/List/10045,/ECon/MainScreen?entityId=10045,10045
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Obrazac prethodne procjene za Nacrt prijedloga zakona o izmjeni Zakona o provedbi Uredbe (EZ) br. 2003/2003 o gnojivima, s konačnim prijedlogom zakona",NA,16.01.2019.,31.01.2019.,04.02.2019.,Čeka odobravanje izvještaja,/Documents/List/10050,/ECon/MainScreen?entityId=10050,10050
Ministarstvo poljoprivrede,Obrazac prethodne procjene za za Zakon o izmjeni Zakona o duhanu,NA,16.01.2019.,31.01.2019.,05.02.2019.,Čeka odobravanje izvještaja,/Documents/List/10052,/ECon/MainScreen?entityId=10052,10052
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Obrazac prethodne procjene za Nacrt prijedloga zakona o izmjeni Zakona o gnojivima i poboljšivačima tla, s konačnim prijedlogom zakona",NA,16.01.2019.,31.01.2019.,04.02.2019.,Čeka odobravanje izvještaja,/Documents/List/10053,/ECon/MainScreen?entityId=10053,10053
Ministarstvo poljoprivrede,Obrazac prethodne procjene za Zakon o izmjenama Zakona o uskladištenju i skladišnici za žitarice i industrijsko bilje,NA,16.01.2019.,31.01.2019.,05.02.2019.,Čeka odobravanje izvještaja,/Documents/List/10055,/ECon/MainScreen?entityId=10055,10055
